
 num     #instances         #bytes  class name
 279:           144           5760  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$AutowiredFieldElement
 280:           358           5728  java.util.regex.Pattern$Single
 281:           143           5720  org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails
 282:           213           5680  [Ljava.util.regex.Pattern$Node;
 283:            16           5632  com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl
 284:           233           5592  org.springframework.beans.MutablePropertyValues
 285:           233           5592  org.springframework.beans.MutablePropertyValues
 286:           232           5568  org.hibernate.engine.spi.ExecutableList
 287:           347           5552  java.util.Collections$SingletonList
 288:            63           5544  org.aspectj.weaver.ResolvedType$Primitive
 289:           231           5544  org.apache.el.parser.AstCompositeExpression
 290:           231           5544  org.apache.el.parser.AstDynamicExpression
 291:           346           5536  sun.reflect.generics.tree.Wildcard
 292:           172           5504  org.apache.tomcat.util.modeler.BaseModelMBean
 293:           171           5472  org.springframework.cglib.proxy.MethodProxy
 294:           171           5472  org.springframework.cglib.proxy.MethodProxy
 295:           227           5448  org.apache.jasper.compiler.Node$Nodes
 296:           136           5440  org.springframework.core.ResolvableType
 297:           168           5376  sun.reflect.generics.repository.ClassRepository
 298:           220           5280  java.util.regex.Pattern$7
 299:           132           5280  java.util.ResourceBundle$BundleReference
 300:            94           5264  java.nio.DirectByteBuffer
 301:           215           5160  org.apache.tomcat.util.modeler.ParameterInfo
 302:           322           5152  org.springframework.util.LinkedMultiValueMap
 303:           214           5136  java.io.ExpiringCache$Entry
 304:           213           5112  java.util.regex.Pattern$Branch
 305:            58           5104  java.util.jar.JarVerifier
 306:            91           5096  java.util.jar.JarFile
 307:           159           5088  sun.util.locale.BaseLocale
 308:           159           5088  sun.util.locale.BaseLocale$Key
 309:           126           5040  org.springframework.beans.factory.support.DisposableBeanAdapter
 310:            84           5032  [Ljavax.management.MBeanAttributeInfo;
 311:           208           4992  com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer
 312:            89           4984  org.apache.catalina.connector.CoyoteReader
 313:            89           4984  org.apache.catalina.connector.Response
 314:            89           4984  [Lorg.apache.catalina.core.ApplicationFilterConfig;
 315:            89           4984  org.apache.catalina.util.ParameterMap
 316:           206           4944  org.hibernate.engine.spi.EntityKey
 317:           103           4944  org.hibernate.engine.spi.EntityEntry
 318:           205           4920  javax.management.MBeanParameterInfo
 319:           204           4896  java.lang.ThreadLocal$ThreadLocalMap
 320:           122           4880  java.util.IdentityHashMap
 321:           284           4856  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 322:            60           4800  java.net.URI
 323:           200           4800  org.apache.tomcat.util.buf.StringCache$ByteEntry
 324:           147           4704  org.hibernate.loader.plan.build.internal.spaces.EntityQuerySpaceImpl
 325:            39           4680  org.aspectj.weaver.reflect.ReflectionBasedResolvedMemberImpl
 326:           195           4680  java.net.InetAddress$InetAddressHolder
 327:           146           4672  java.util.Collections$SynchronizedMap
 328:            97           4656  org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation
 329:            83           4648  com.skyline.pojo.Employee
 330:            96           4608  org.springframework.beans.PropertyValue
 331:           192           4608  com.sun.org.apache.xerces.internal.util.SymbolHash$Entry
 332:           143           4576  org.hibernate.loader.entity.plan.EntityLoader
 333:           143           4576  org.hibernate.loader.plan.build.internal.returns.EntityReturnImpl
 334:           143           4576  org.hibernate.loader.entity.plan.EntityLoader$Builder
 335:           189           4536  javax.management.ImmutableDescriptor
 336:           278           4520  [Ljava.lang.reflect.TypeVariable;
 337:            94           4512  org.springframework.beans.PropertyValue
 338:            94           4512  java.util.Properties
 339:           185           4440  java.net.InetSocketAddress$InetSocketAddressHolder
 340:           184           4416  org.apache.el.parser.AstValue
 341:           276           4416  java.util.regex.Pattern$GroupHead
 342:           110           4400  sun.security.rsa.RSAPublicKeyImpl
 343:           274           4384  <compiledICHolderKlass>
 344:            91           4368  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRSHashEntry
 345:            91           4368  java.util.concurrent.ThreadPoolExecutor$Worker
 346:           182           4368  org.apache.tomcat.util.http.MimeHeaders
 347:           272           4352  java.lang.Byte
 348:           181           4344  org.springframework.asm.Type
 349:           181           4344  org.springframework.asm.Type
 350:           134           4288  java.util.regex.Pattern$Curly
 351:            89           4272  org.apache.catalina.connector.CoyoteWriter
 352:           133           4256  java.util.ResourceBundle$LoaderReference
 353:           105           4200  com.skyline.pojo.CountryCode
 354:            58           4176  org.hibernate.hql.internal.ast.tree.IdentNode
 355:            87           4176  sun.util.calendar.ZoneInfo
 356:           130           4160  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 357:           122           4160  [Ljava.security.ProtectionDomain;
 358:           173           4152  org.apache.xmlbeans.QNameSet
 359:           258           4128  org.apache.juli.logging.DirectJDKLog
 360:           103           4120  sun.nio.cs.UTF_8$Decoder
 361:            64           4096  org.springframework.web.servlet.FlashMap
 362:           256           4096  org.springframework.util.LinkedMultiValueMap
 363:           256           4096  java.lang.Short
 364:           152           4056  [Ljavax.servlet.jsp.tagext.TagAttributeInfo;
 365:           169           4056  org.apache.xmlbeans.SchemaGlobalElement$Ref
 366:           168           4032  sun.reflect.generics.tree.ClassSignature
 367:            56           4032  org.apache.catalina.webresources.JarResourceSet
 368:           251           4016  com.sun.jmx.mbeanserver.NamedObject
 369:           242           4008  [Lorg.apache.catalina.LifecycleListener;
 370:           125           4000  org.hibernate.tuple.BaselineAttributeInformation
 371:           100           4000  org.springframework.util.ConcurrentReferenceHashMap
 372:            83           3984  javax.management.MBeanInfo
 373:            62           3968  org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod
 374:           165           3960  java.util.Locale
 375:            45           3960  org.aspectj.weaver.reflect.Java15ReflectionBasedReferenceTypeDelegate
 376:             8           3960  [[Ljava.lang.Object;
 377:            98           3920  org.springframework.util.ConcurrentReferenceHashMap
 378:           163           3912  org.apache.el.parser.AstDotSuffix
 379:            61           3904  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 380:            61           3904  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 381:           159           3816  java.util.Locale$LocaleKey
 382:           119           3808  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 383:            94           3760  org.springframework.web.method.HandlerMethod
 384:            94           3760  org.springframework.web.servlet.mvc.method.RequestMappingInfo
 385:            94           3760  org.springframework.web.servlet.mvc.method.RequestMappingInfo
